الفئة: جميع الفئات

الشهر,Action movies: (في جميع أنحاء العالم),Comedy movies: (في جميع أنحاء العالم),Horror movies: (في جميع أنحاء العالم),Family movies: (في جميع أنحاء العالم),Romance movies: (في جميع أنحاء العالم)
2004-01,3,4,9,3,1
2004-02,5,3,7,3,1
2004-03,4,3,8,3,1
2004-04,4,3,8,3,1
2004-05,3,3,8,3,1
2004-06,3,3,6,3,أصغر من 1
2004-07,3,3,8,3,1
2004-08,3,4,11,3,1
2004-09,4,3,8,2,1
2004-10,3,3,15,4,1
2004-11,4,4,9,2,أصغر من 1
2004-12,2,3,8,3,1
2005-01,3,3,9,3,أصغر من 1
2005-02,3,3,9,3,1
2005-03,3,4,10,3,1
2005-04,4,4,10,2,1
2005-05,3,3,8,4,1
2005-06,3,4,7,3,1
2005-07,3,3,9,4,1
2005-08,3,5,8,3,1
2005-09,2,4,8,3,أصغر من 1
2005-10,3,3,14,4,1
2005-11,3,5,8,3,1
2005-12,4,4,8,5,1
2006-01,3,5,8,5,2
2006-02,4,4,9,4,1
2006-03,3,3,8,3,1
2006-04,3,4,8,3,1
2006-05,4,4,8,3,1
2006-06,3,5,7,3,1
2006-07,2,5,10,3,2
2006-08,3,4,8,3,1
2006-09,3,4,9,3,1
2006-10,3,4,18,3,1
2006-11,3,4,11,4,1
2006-12,3,4,8,5,1
2007-01,4,4,8,4,1
2007-02,2,4,7,3,1
2007-03,2,4,7,3,1
2007-04,3,4,8,4,1
2007-05,3,4,8,3,1
2007-06,3,4,8,4,1
2007-07,4,4,8,4,1
2007-08,3,5,8,3,1
2007-09,4,5,7,3,1
2007-10,3,5,14,5,1
2007-11,4,5,8,5,2
2007-12,5,6,7,5,2
2008-01,4,6,9,4,1
2008-02,4,5,8,5,2
2008-03,4,7,8,5,2
2008-04,4,6,7,4,2
2008-05,4,6,8,5,2
2008-06,4,6,10,5,2
2008-07,4,7,9,6,2
2008-08,4,7,8,5,2
2008-09,5,6,9,5,2
2008-10,4,7,17,6,2
2008-11,5,8,12,6,2
2008-12,5,9,12,6,3
2009-01,6,10,12,6,3
2009-02,6,9,11,6,3
2009-03,6,9,11,6,2
2009-04,6,9,12,6,3
2009-05,6,10,14,6,3
2009-06,6,12,14,7,3
2009-07,7,12,14,7,3
2009-08,7,12,17,6,3
2009-09,6,11,14,6,3
2009-10,7,12,22,7,3
2009-11,8,14,15,7,4
2009-12,9,15,16,8,4
2010-01,9,15,16,7,4
2010-02,8,15,15,7,4
2010-03,9,14,14,8,3
2010-04,8,15,15,7,3
2010-05,9,15,16,7,4
2010-06,10,16,17,7,4
2010-07,11,19,20,9,5
2010-08,10,18,21,7,4
2010-09,10,15,19,8,4
2010-10,10,16,27,9,4
2010-11,14,16,18,8,3
2010-12,13,18,18,10,4
2011-01,12,19,20,9,4
2011-02,11,16,19,8,4
2011-03,11,16,18,7,4
2011-04,12,17,21,8,4
2011-05,11,17,21,7,4
2011-06,12,19,22,8,5
2011-07,12,20,24,8,5
2011-08,13,20,23,8,5
2011-09,11,18,22,9,4
2011-10,12,18,31,8,4
2011-11,12,19,22,8,5
2011-12,14,21,22,9,5
2012-01,14,21,22,8,5
2012-02,12,18,20,7,5
2012-03,12,18,19,6,4
2012-04,12,19,22,6,4
2012-05,11,18,19,6,4
2012-06,12,20,22,7,5
2012-07,14,23,24,8,5
2012-08,13,21,24,7,5
2012-09,14,20,26,7,4
2012-10,13,20,30,8,5
2012-11,13,19,21,8,5
2012-12,15,25,22,9,6
2013-01,15,24,23,7,6
2013-02,14,23,21,7,5
2013-03,16,23,23,7,6
2013-04,14,21,22,7,5
2013-05,14,22,23,7,6
2013-06,16,25,24,8,7
2013-07,16,26,27,8,7
