الفئة: جميع الفئات

بلد,Action movies: (1‏/1‏/2004 - 27‏/11‏/2021),Comedy movies: (1‏/1‏/2004 - 27‏/11‏/2021),Horror movies: (1‏/1‏/2004 - 27‏/11‏/2021),Family movies: (1‏/1‏/2004 - 27‏/11‏/2021),Romance movies: (1‏/1‏/2004 - 27‏/11‏/2021)
فانواتو,,,,,
ميكرونيزيا,,,,,
بابوا غينيا الجديدة,,,,,
جزر سليمان,,,,,
ليبيريا,,,,,
بالاو,,,,,
الصومال,,,,,
تونغا,,,,,
سانت فنسنت وجزر غرينادين,,,,,
غرينادا,,,,,
غيانا,,,,,
ساموا,,,,,
ساموا الأمريكية,,,,,
ميانمار (بورما),,,,,
زيمبابوي,,,,,
باكستان,31‎%‎,19‎%‎,36‎%‎,8‎%‎,6‎%‎
فيجي,,,,,
سانت لوسيا,,,,,
دومينيكا,,,,,
ناميبيا,,,,,
قطر,42‎%‎,22‎%‎,28‎%‎,4‎%‎,4‎%‎
جامايكا,,,,,
ليسوتو,,,,,
جزر ماريانا الشمالية,,,,,
عُمان,47‎%‎,15‎%‎,33‎%‎,3‎%‎,2‎%‎
بوتسوانا,,,,,
إثيوبيا,,,,,
بوتان,,,,,
الفلبين,36‎%‎,23‎%‎,31‎%‎,3‎%‎,7‎%‎
غانا,,,,,
ترينيداد وتوباغو,29‎%‎,30‎%‎,15‎%‎,9‎%‎,17‎%‎
بنغلاديش,55‎%‎,13‎%‎,24‎%‎,4‎%‎,4‎%‎
زامبيا,,,,,
سيراليون,,,,,
إسواتيني,,,,,
موريتانيا,,,,,
بربادوس,,,,,
نيجيريا,62‎%‎,14‎%‎,13‎%‎,3‎%‎,8‎%‎
الإمارات العربية المتحدة,36‎%‎,27‎%‎,27‎%‎,5‎%‎,5‎%‎
تنزانيا,,,,,
مقدونيا الشمالية,,,,,
سيشل,,,,,
النيجر,,,,,
نيبال,37‎%‎,26‎%‎,27‎%‎,5‎%‎,5‎%‎
بليز,,,,,
سانت مارتن,,,,,
جزر البهاما,,,,,
مالطا,,,,,
تيمور - ليشتي,,,,,
كينيا,48‎%‎,21‎%‎,18‎%‎,5‎%‎,8‎%‎
جزر المالديف,,,,,
ملاوي,,,,,
أفغانستان,,,,,
موريشيوس,,,,,
غامبيا,,,,,
رواندا,,,,,
أوغندا,,,,,
سورينام,,,,,
جنوب السودان,,,,,
جزر القمر,,,,,
توغو,,,,,
غينيا الاستوائية,,,,,
الهند,26‎%‎,31‎%‎,32‎%‎,6‎%‎,5‎%‎
جنوب أفريقيا,34‎%‎,27‎%‎,25‎%‎,7‎%‎,7‎%‎
أنتيغوا وبربودا,,,,,
جزر كايمان,,,,,
سريلانكا,26‎%‎,27‎%‎,29‎%‎,9‎%‎,9‎%‎
مالي,,,,,
اليمن,,,,,
غوام,,,,,
كوراساو,,,,,
غينيا,,,,,
قبرص,,,,,
البحرين,,,,,
جبل طارق,,,,,
بروناي,,,,,
آيسلندا,,,,,
المملكة العربية السعودية,42‎%‎,23‎%‎,26‎%‎,4‎%‎,5‎%‎
العراق,45‎%‎,8‎%‎,33‎%‎,5‎%‎,9‎%‎
الكاميرون,,,,,
الكويت,27‎%‎,30‎%‎,28‎%‎,8‎%‎,7‎%‎
بوروندي,,,,,
نيوزيلندا,19‎%‎,32‎%‎,28‎%‎,13‎%‎,8‎%‎
بنين,,,,,
أروبا,,,,,
لبنان,26‎%‎,33‎%‎,22‎%‎,8‎%‎,11‎%‎
غينيا بيساو,,,,,
السنغال,,,,,
كوسوفو,,,,,
سنغافورة,22‎%‎,29‎%‎,32‎%‎,7‎%‎,10‎%‎
ماليزيا,32‎%‎,19‎%‎,33‎%‎,5‎%‎,11‎%‎
الجزائر,,,,,
إستونيا,,,,,
هايتي,,,,,
برمودا,,,,,
جزيرة مان,,,,,
البوسنة والهرسك,,,,,
أيرلندا,15‎%‎,32‎%‎,32‎%‎,14‎%‎,7‎%‎
جيرسي,,,,,
صربيا,18‎%‎,35‎%‎,30‎%‎,4‎%‎,13‎%‎
كندا,17‎%‎,26‎%‎,33‎%‎,16‎%‎,8‎%‎
ألبانيا,,,,,
الجبل الأسود,,,,,
أستراليا,16‎%‎,31‎%‎,31‎%‎,13‎%‎,9‎%‎
جيبوتي,,,,,
غيرنزي,,,,,
ليبيا,,,,,
